id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
0,0.005,4000,800.0,1.4,0.1,0.71,4,2,5,17.8056540489
1,0.005,4000,800.0,1.4,0.1,0.71,4,4,5,18.3313720226
2,0.005,4000,800.0,1.4,0.1,0.71,4,6,5,20.6691420078
3,0.005,4000,800.0,1.4,0.1,0.71,4,8,5,22.3589031696
4,0.005,4000,800.0,1.4,0.1,0.71,4,2,13,29.5171411037
5,0.005,4000,800.0,1.4,0.1,0.71,4,4,13,30.345015049
6,0.005,4000,800.0,1.4,0.1,0.71,4,6,13,34.1665151119
7,0.005,4000,800.0,1.4,0.1,0.71,4,8,13,37.2639839649
8,0.005,4000,800.0,1.4,0.1,0.71,4,2,21,56.0672249794
9,0.005,4000,800.0,1.4,0.1,0.71,4,4,21,64.4752991199
10,0.005,4000,800.0,1.4,0.1,0.71,4,6,21,69.2286400795
11,0.005,4000,800.0,1.4,0.1,0.71,4,8,21,78.0328519344
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,29,121.53085494
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,29,144.885939121
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,29,161.069794893
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,29,182.39593482
16,0.005,4000,800.0,1.4,0.1,0.71,4,2,37,229.914366007
17,0.005,4000,800.0,1.4,0.1,0.71,4,4,37,261.62370801
18,0.005,4000,800.0,1.4,0.1,0.71,4,6,37,299.029372931
19,0.005,4000,800.0,1.4,0.1,0.71,4,8,37,346.747064114
20,0.005,4000,800.0,1.4,0.1,0.71,4,2,45,348.75552392
21,0.005,4000,800.0,1.4,0.1,0.71,4,4,45,410.812783003
22,0.005,4000,800.0,1.4,0.1,0.71,4,6,45,466.538558006
23,0.005,4000,800.0,1.4,0.1,0.71,4,8,45,543.245772123
24,0.005,4000,800.0,1.4,0.1,0.71,4,2,53,545.744375944
25,0.005,4000,800.0,1.4,0.1,0.71,4,4,53,640.573062181
26,0.005,4000,800.0,1.4,0.1,0.71,4,6,53,735.822084904
27,0.005,4000,800.0,1.4,0.1,0.71,4,8,53,813.845669985
28,0.005,4000,800.0,1.4,0.1,0.71,4,2,61,767.914188862
29,0.005,4000,800.0,1.4,0.1,0.71,4,4,61,901.60895896
30,0.005,4000,800.0,1.4,0.1,0.71,4,6,61,1067.03662705
31,0.005,4000,800.0,1.4,0.1,0.71,4,8,61,1257.9461
32,0.005,4000,800.0,1.4,0.1,0.71,4,2,69,1108.51809812
