id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
0,0.00125,20,800.0,1.4,0.1,0.71,1,2,127,86.4993999004
1,0.00125,20,800.0,1.4,0.1,0.71,1,4,127,109.007605076
2,0.00125,20,800.0,1.4,0.1,0.71,1,6,127,127.858313084
3,0.00125,20,800.0,1.4,0.1,0.71,1,8,127,153.895034075
4,0.00125,20,800.0,1.4,0.1,0.71,2,2,127,48.2396380901
5,0.00125,20,800.0,1.4,0.1,0.71,2,4,127,60.8665521145
6,0.00125,20,800.0,1.4,0.1,0.71,2,6,127,69.7625010014
7,0.00125,20,800.0,1.4,0.1,0.71,2,8,127,82.4648668766
8,0.00125,20,800.0,1.4,0.1,0.71,3,2,127,34.8409490585
9,0.00125,20,800.0,1.4,0.1,0.71,3,4,127,43.6077427864
10,0.00125,20,800.0,1.4,0.1,0.71,3,6,127,52.0607430935
11,0.00125,20,800.0,1.4,0.1,0.71,3,8,127,60.7762219906
12,0.00125,20,800.0,1.4,0.1,0.71,4,2,127,29.1171379089
13,0.00125,20,800.0,1.4,0.1,0.71,4,4,127,35.6433827877
14,0.00125,20,800.0,1.4,0.1,0.71,4,6,127,39.8207960129
15,0.00125,20,800.0,1.4,0.1,0.71,4,8,127,46.7372281551
16,0.00125,20,800.0,1.4,0.1,0.71,5,2,127,28.4764409065
17,0.00125,20,800.0,1.4,0.1,0.71,5,4,127,33.3944661617
18,0.00125,20,800.0,1.4,0.1,0.71,5,6,127,38.6921041012
19,0.00125,20,800.0,1.4,0.1,0.71,5,8,127,43.7524108887
20,0.00125,20,800.0,1.4,0.1,0.71,6,2,127,24.2604901791
21,0.00125,20,800.0,1.4,0.1,0.71,6,4,127,27.8135478497
22,0.00125,20,800.0,1.4,0.1,0.71,6,6,127,31.8927419186
23,0.00125,20,800.0,1.4,0.1,0.71,6,8,127,36.6344778538
24,0.00125,20,800.0,1.4,0.1,0.71,7,2,127,29.9647262096
25,0.00125,20,800.0,1.4,0.1,0.71,7,4,127,32.124751091
26,0.00125,20,800.0,1.4,0.1,0.71,7,6,127,35.1043338776
27,0.00125,20,800.0,1.4,0.1,0.71,7,8,127,40.3166058064
28,0.00125,20,800.0,1.4,0.1,0.71,8,2,127,22.7311849594
29,0.00125,20,800.0,1.4,0.1,0.71,8,4,127,25.5259160995
30,0.00125,20,800.0,1.4,0.1,0.71,8,6,127,28.4695141315
31,0.00125,20,800.0,1.4,0.1,0.71,8,8,127,36.3796050549
