id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
17,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,69.0046420097
18,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,46.9451708794
19,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,44.1343901157
20,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,36.3534650803
21,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,58.0421051979
22,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,69.2027139664
23,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,128.023777962
24,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,142.316451073
25,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,305.056812048
26,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,69.2775249481
27,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,44.7039659023
28,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,42.3592908382
29,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,34.8982520103
30,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,54.3924221992
31,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,64.0943830013
32,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,119.605639935
33,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,124.993377924
34,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,288.60145402
35,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,326.208492994
36,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,68.8251368999
37,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,45.4085199833
38,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,44.2020499706
39,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,38.4828300476
40,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,57.1363129616
41,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,63.4092710018
42,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,118.133236885
43,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,125.656093121
44,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,288.031404972
45,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,325.944367886
