id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
1,0.005,4000,800.0,1.4,0.1,0.71,6,4,33,191.76051116
2,0.005,4000,800.0,1.4,0.1,0.71,7,4,33,271.576379061
3,0.005,4000,800.0,1.4,0.1,0.71,8,4,33,265.431699038
4,0.005,4000,800.0,1.4,0.1,0.71,5,4,33,216.79893589
5,0.005,4000,800.0,1.4,0.1,0.71,4,4,33,173.18008709
6,0.005,4000,800.0,1.4,0.1,0.71,3,4,33,221.833134174
7,0.005,4000,800.0,1.4,0.1,0.71,2,4,33,265.296852827
8,0.005,4000,800.0,1.4,0.1,0.71,1,4,33,434.253342152
9,0.005,4000,800.0,1.4,0.1,0.71,1,4,33,437.649137974
10,0.005,4000,800.0,1.4,0.1,0.71,2,4,33,267.384982109
11,0.005,4000,800.0,1.4,0.1,0.71,3,4,33,233.716490984
12,0.005,4000,800.0,1.4,0.1,0.71,4,4,33,184.693521023
13,0.005,4000,800.0,1.4,0.1,0.71,5,4,33,224.220990181
14,0.005,4000,800.0,1.4,0.1,0.71,6,4,33,202.844306946
15,0.005,4000,800.0,1.4,0.1,0.71,7,4,33,280.764164209
16,0.005,4000,800.0,1.4,0.1,0.71,8,4,33,227.710183859
17,0.005,4000,800.0,1.4,0.1,0.71,1,4,33,440.180251122
18,0.005,4000,800.0,1.4,0.1,0.71,2,4,33,274.933959961
19,0.005,4000,800.0,1.4,0.1,0.71,3,4,33,244.488761902
20,0.005,4000,800.0,1.4,0.1,0.71,4,4,33,191.634187937
21,0.005,4000,800.0,1.4,0.1,0.71,5,4,33,240.1517241
22,0.005,4000,800.0,1.4,0.1,0.71,6,4,33,208.19832921
23,0.005,4000,800.0,1.4,0.1,0.71,7,4,33,287.835488081
24,0.005,4000,800.0,1.4,0.1,0.71,8,4,33,245.641120911
25,0.005,4000,800.0,1.4,0.1,0.71,1,4,33,448.893700123
26,0.005,4000,800.0,1.4,0.1,0.71,2,4,33,275.477857828
27,0.005,4000,800.0,1.4,0.1,0.71,3,4,33,238.45086813
28,0.005,4000,800.0,1.4,0.1,0.71,4,4,33,193.452365875
29,0.005,4000,800.0,1.4,0.1,0.71,5,4,33,243.823397875
30,0.005,4000,800.0,1.4,0.1,0.71,6,4,33,199.213245869
31,0.005,4000,800.0,1.4,0.1,0.71,7,4,33,296.168891907
32,0.005,4000,800.0,1.4,0.1,0.71,8,4,33,255.443392038
