id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
4,0.0025,8000,800.0,1.4,0.1,0.71,4,2,5,20.23209095
5,0.0025,8000,800.0,1.4,0.1,0.71,4,4,5,22.1455898285
6,0.0025,8000,800.0,1.4,0.1,0.71,4,6,5,27.3786890507
7,0.0025,8000,800.0,1.4,0.1,0.71,4,8,5,28.2173109055
8,0.0025,8000,800.0,1.4,0.1,0.71,4,2,13,38.8190920353
9,0.0025,8000,800.0,1.4,0.1,0.71,4,4,13,41.2335760593
10,0.0025,8000,800.0,1.4,0.1,0.71,4,6,13,53.3862709999
11,0.0025,8000,800.0,1.4,0.1,0.71,4,8,13,57.3547029495
12,0.0025,8000,800.0,1.4,0.1,0.71,4,2,21,103.620646
13,0.0025,8000,800.0,1.4,0.1,0.71,4,4,21,119.500441074
14,0.0025,8000,800.0,1.4,0.1,0.71,4,6,21,135.974323988
15,0.0025,8000,800.0,1.4,0.1,0.71,4,8,21,148.648399115
16,0.0025,8000,800.0,1.4,0.1,0.71,4,2,29,214.48177886
17,0.0025,8000,800.0,1.4,0.1,0.71,4,4,29,249.904458046
18,0.0025,8000,800.0,1.4,0.1,0.71,4,6,29,292.509579182
19,0.0025,8000,800.0,1.4,0.1,0.71,4,8,29,336.651717186
20,0.0025,8000,800.0,1.4,0.1,0.71,4,2,37,415.766463041
21,0.0025,8000,800.0,1.4,0.1,0.71,4,4,37,474.52948308
22,0.0025,8000,800.0,1.4,0.1,0.71,4,6,37,538.937777042
23,0.0025,8000,800.0,1.4,0.1,0.71,4,8,37,609.110023975
24,0.0025,8000,800.0,1.4,0.1,0.71,4,2,45,659.422744989
25,0.0025,8000,800.0,1.4,0.1,0.71,4,4,45,772.895668983
26,0.0025,8000,800.0,1.4,0.1,0.71,4,6,45,879.2307899
27,0.0025,8000,800.0,1.4,0.1,0.71,4,8,45,1027.12378502
28,0.0025,8000,800.0,1.4,0.1,0.71,4,2,53,1008.73501182
29,0.0025,8000,800.0,1.4,0.1,0.71,4,4,53,1213.76647091
30,0.0025,8000,800.0,1.4,0.1,0.71,4,6,53,1350.03070903
31,0.0025,8000,800.0,1.4,0.1,0.71,4,8,53,1574.77352595
32,0.0025,8000,800.0,1.4,0.1,0.71,4,2,61,1472.12270713
33,0.0025,8000,800.0,1.4,0.1,0.71,4,4,61,1743.0363009
34,0.0025,8000,800.0,1.4,0.1,0.71,4,6,61,1970.33255816
35,0.0025,8000,800.0,1.4,0.1,0.71,4,8,61,2305.52058005
36,0.0025,8000,800.0,1.4,0.1,0.71,4,2,69,2087.28831911
37,0.0025,8000,800.0,1.4,0.1,0.71,4,4,69,2461.31601596
38,0.0025,8000,800.0,1.4,0.1,0.71,4,6,69,2796.01333618
39,0.0025,8000,800.0,1.4,0.1,0.71,4,8,69,3281.46819401
40,0.0025,8000,800.0,1.4,0.1,0.71,4,2,77,2805.99844408
41,0.0025,8000,800.0,1.4,0.1,0.71,4,4,77,3322.2871511
42,0.0025,8000,800.0,1.4,0.1,0.71,4,6,77,3847.64640093
43,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,26.8631629944
44,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,32.3634550571
45,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,35.5188169479
46,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,41.6942961216
