id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
0,0.005,400,800.0,1.4,0.1,0.71,1,2,63,215.846164942
1,0.005,400,800.0,1.4,0.1,0.71,1,4,63,275.973110914
2,0.005,400,800.0,1.4,0.1,0.71,1,6,63,325.689869881
3,0.005,400,800.0,1.4,0.1,0.71,1,8,63,389.983436108
4,0.005,400,800.0,1.4,0.1,0.71,2,2,63,127.255415201
5,0.005,400,800.0,1.4,0.1,0.71,2,4,63,155.312056065
6,0.005,400,800.0,1.4,0.1,0.71,2,6,63,177.545338869
7,0.005,400,800.0,1.4,0.1,0.71,2,8,63,213.897273064
8,0.005,400,800.0,1.4,0.1,0.71,3,2,63,100.502753973
9,0.005,400,800.0,1.4,0.1,0.71,3,4,63,116.519606113
10,0.005,400,800.0,1.4,0.1,0.71,3,6,63,132.801374197
11,0.005,400,800.0,1.4,0.1,0.71,3,8,63,160.704191208
12,0.005,400,800.0,1.4,0.1,0.71,4,2,63,75.5584599972
13,0.005,400,800.0,1.4,0.1,0.71,4,4,63,89.6871061325
14,0.005,400,800.0,1.4,0.1,0.71,4,6,63,102.24523592
15,0.005,400,800.0,1.4,0.1,0.71,4,8,63,125.930299044
16,0.005,400,800.0,1.4,0.1,0.71,5,2,63,97.1460340023
17,0.005,400,800.0,1.4,0.1,0.71,5,4,63,99.3483431339
18,0.005,400,800.0,1.4,0.1,0.71,5,6,63,109.549598932
19,0.005,400,800.0,1.4,0.1,0.71,5,8,63,123.473721981
20,0.005,400,800.0,1.4,0.1,0.71,6,2,63,72.9016098976
21,0.005,400,800.0,1.4,0.1,0.71,6,4,63,92.4037880898
22,0.005,400,800.0,1.4,0.1,0.71,6,6,63,102.917248964
23,0.005,400,800.0,1.4,0.1,0.71,6,8,63,117.869744062
24,0.005,400,800.0,1.4,0.1,0.71,7,2,63,105.638293982
25,0.005,400,800.0,1.4,0.1,0.71,7,4,63,112.741797924
26,0.005,400,800.0,1.4,0.1,0.71,7,6,63,124.865148067
27,0.005,400,800.0,1.4,0.1,0.71,7,8,63,133.645597935
28,0.005,400,800.0,1.4,0.1,0.71,8,2,63,70.0146770477
29,0.005,400,800.0,1.4,0.1,0.71,8,4,63,76.5452280045
30,0.005,400,800.0,1.4,0.1,0.71,8,6,63,84.3553731441
31,0.005,400,800.0,1.4,0.1,0.71,8,8,63,94.0030961037
